company_id,month,invoice_amount,payment_delay_days,payment_failed
CUST_0001,2024-10-01,12356,9,0
CUST_0001,2024-11-01,12356,0,0
CUST_0001,2024-12-01,12356,0,0
CUST_0001,2025-01-01,12356,2,0
CUST_0002,2023-04-01,8839,5,0
CUST_0002,2023-05-01,8839,9,0
CUST_0002,2023-06-01,8839,3,0
CUST_0002,2023-07-01,8839,2,0
CUST_0003,2024-01-01,18602,8,0
CUST_0003,2024-02-01,18602,0,0
CUST_0003,2024-03-01,18602,0,0
CUST_0003,2024-04-01,18602,0,0
CUST_0003,2024-05-01,18602,1,0
CUST_0003,2024-06-01,18602,0,0
CUST_0003,2024-07-01,18602,0,0
CUST_0003,2024-08-01,18602,4,0
CUST_0003,2024-09-01,18602,2,0
CUST_0003,2024-10-01,18602,2,0
CUST_0003,2024-11-01,18602,0,0
CUST_0003,2024-12-01,18602,0,0
CUST_0003,2025-01-01,18602,3,0
CUST_0004,2023-10-01,7589,10,0
CUST_0004,2023-11-01,7589,7,0
CUST_0004,2023-12-01,7589,3,0
CUST_0004,2024-01-01,7589,0,0
CUST_0004,2024-02-01,7589,0,0
CUST_0004,2024-03-01,7589,0,0
CUST_0004,2024-04-01,7589,3,0
CUST_0005,2023-03-01,226690,0,0
CUST_0005,2023-04-01,226690,0,0
CUST_0005,2023-05-01,226690,0,0
CUST_0005,2023-06-01,226690,4,0
CUST_0005,2023-07-01,226690,8,0
CUST_0005,2023-08-01,226690,4,0
CUST_0005,2023-09-01,226690,5,0
CUST_0005,2023-10-01,226690,1,0
CUST_0005,2023-11-01,226690,9,0
CUST_0005,2023-12-01,226690,11,0
CUST_0005,2024-01-01,226690,3,0
CUST_0005,2024-02-01,226690,3,0
CUST_0005,2024-03-01,226690,2,0
CUST_0005,2024-04-01,226690,11,0
CUST_0005,2024-05-01,226690,2,0
CUST_0005,2024-06-01,226690,0,0
CUST_0005,2024-07-01,226690,2,0
CUST_0005,2024-08-01,226690,10,0
CUST_0005,2024-09-01,226690,2,0
CUST_0005,2024-10-01,226690,4,0
CUST_0005,2024-11-01,226690,5,0
CUST_0005,2024-12-01,226690,4,0
CUST_0005,2025-01-01,226690,0,0
CUST_0006,2023-09-01,94618,2,0
CUST_0006,2023-10-01,94618,6,0
CUST_0006,2023-11-01,94618,1,0
CUST_0006,2023-12-01,94618,0,0
CUST_0006,2024-01-01,94618,1,0
CUST_0007,2024-01-01,4449,14,0
CUST_0007,2024-02-01,4449,16,0
CUST_0007,2024-03-01,4449,12,0
CUST_0007,2024-04-01,4449,8,0
CUST_0007,2024-05-01,4449,19,0
CUST_0007,2024-06-01,4449,12,0
CUST_0007,2024-07-01,4449,14,0
CUST_0007,2024-08-01,4449,10,0
CUST_0007,2024-09-01,4449,11,0
CUST_0008,2023-09-01,60042,4,0
CUST_0008,2023-10-01,60042,1,0
CUST_0008,2023-11-01,60042,1,0
CUST_0008,2023-12-01,60042,2,0
CUST_0008,2024-01-01,60042,3,0
CUST_0008,2024-02-01,60042,0,0
CUST_0008,2024-03-01,60042,0,0
CUST_0008,2024-04-01,60042,0,0
CUST_0008,2024-05-01,60042,0,0
CUST_0008,2024-06-01,60042,7,0
CUST_0008,2024-07-01,60042,0,0
CUST_0008,2024-08-01,60042,2,0
CUST_0008,2024-09-01,60042,2,0
CUST_0008,2024-10-01,60042,2,0
CUST_0008,2024-11-01,60042,3,0
CUST_0008,2024-12-01,60042,3,0
CUST_0008,2025-01-01,60042,4,0
CUST_0009,2024-02-01,98019,3,0
CUST_0009,2024-03-01,98019,1,0
CUST_0009,2024-04-01,98019,0,0
CUST_0009,2024-05-01,98019,10,0
CUST_0009,2024-06-01,98019,0,0
CUST_0009,2024-07-01,98019,0,0
